Demo_Task,Fiscal_Period,Employee_ID,Business_Unit,Department,Role,Entity,Cost_Center,Cost_Center_Name,Salary_AUD,Overtime_AUD,Benefits_AUD,Contractor_Cost_AUD,Total_Workforce_Cost_AUD,Hours_Worked,Utilisation_Percent,Output_Metric,Output_Volume,Revenue_or_Value_Supported_AUD,Labour_Cost_Per_Output,Performance_Rating,Risk_Flag,Recommended_Action,Linked_GL_Txn_ID,Source_File_Target
IBM BOB 2 - Workforce,2026-03,EMP9320,Customer Care,Customer Care,Revenue Analyst,FJI01,MKT,Marketing & Sales,19928.2,1184.29,1856.61,0,22969.1,171.0,78.7,cases_resolved,127,59346.07,180.86,High,High overtime,Review allocation / approve exception,TXN005219,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP6593,FP&A,FP&A,Data Engineer,PNG01,R&D,Research & Development,11289.68,1637.39,2765.39,0,15692.46,163.1,91.3,forecast_models,99,445155.82,158.51,Medium,High overtime,Review allocation / approve exception,TXN005220,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP5079,FP&A,FP&A,Customer Service Lead,FJI01,MKT,Marketing & Sales,8110.7,0,1120.38,8953.15,18184.23,157.4,81.4,forecast_models,214,208881.82,84.97,High,Contractor dependency,Review allocation / approve exception,TXN005221,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP6966,FP&A,FP&A,Sales Manager,PNG01,MKT,Marketing & Sales,19617.94,1850.45,2011.45,0,23479.84,174.6,70.2,forecast_models,284,765466.76,82.68,Medium,Low utilisation high cost,Review allocation / approve exception,TXN005222,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP4335,Sales,Sales,Inventory Coordinator,NZL01,TAS,Tasmania Operations,15142.19,0,2348.8,0,17490.99,125.1,91.8,deals_supported,200,646463.69,87.45,Medium,Contractor dependency,Review allocation / approve exception,TXN005223,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP6697,FP&A,FP&A,FP&A Manager,PNG01,NT,Northern Territory Operations,14065.29,144.79,572.5,0,14782.58,126.4,71.9,forecast_models,230,460270.21,64.27,High,High overtime,Review allocation / approve exception,TXN005224,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP4559,Procurement,Procurement,Procurement Specialist,PNG01,R&D,Research & Development,19724.06,2022.46,2490.22,14031.74,38268.48,128.7,75.5,pos_processed,290,494261.5,131.96,Medium,Low utilisation high cost,Review allocation / approve exception,TXN005225,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP3973,Finance,Finance,Controller,AUS01,NSW,New South Wales Operations,7599.03,2391.01,1997.06,6914.45,18901.55,163.5,97.7,close_tasks,286,293905.95,66.09,Low,Low utilisation high cost,Review allocation / approve exception,TXN005226,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP2996,Commercial,Commercial,Finance Analyst,PNG01,SA,South Australia Operations,5709.56,0,763.3,0,6472.86,157.4,66.9,revenue_cases,90,10765.5,71.92,High,Low utilisation high cost,Review allocation / approve exception,TXN005227,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP5542,Finance,Finance,Inventory Coordinator,PNG01,ACT,Australian Capital Territory,15524.08,0,1983.35,11110.67,28618.1,175.9,97.5,close_tasks,93,530774.0,307.72,Medium,Contractor dependency,Review allocation / approve exception,TXN005228,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP6222,IT,IT,Operations Planner,FJI01,SA,South Australia Operations,15581.39,2491.1,1942.41,0,20014.9,182.6,93.2,tickets_resolved,94,213711.24,212.92,Low,None,No action,TXN005229,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP4524,FP&A,FP&A,Operations Planner,AUS01,MKT,Marketing & Sales,18591.55,1050.87,1355.01,0,20997.43,151.0,86.1,forecast_models,136,287587.22,154.39,High,Low utilisation high cost,Review allocation / approve exception,TXN005230,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP9581,Sales,Sales,FP&A Manager,AUS01,WA,Western Australia Operations,16185.93,796.78,844.04,10852.25,28679.0,141.2,96.0,deals_supported,95,644030.72,301.88,High,Low utilisation high cost,Review allocation / approve exception,TXN005231,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP3519,Procurement,Procurement,FP&A Manager,FJI01,NT,Northern Territory Operations,5787.59,639.12,2261.28,0,8687.99,141.1,74.4,pos_processed,214,417752.01,40.6,Medium,High overtime,Review allocation / approve exception,TXN005232,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP8639,Finance,Finance,Inventory Coordinator,FJI01,ACT,Australian Capital Territory,10289.79,1586.3,1044.75,6167.3,19088.14,161.7,88.9,close_tasks,143,751695.97,133.48,Low,Contractor dependency,Review allocation / approve exception,TXN005233,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP6212,FP&A,FP&A,Controller,FJI01,SA,South Australia Operations,10074.17,586.57,2611.08,2498.48,15770.3,124.0,92.0,forecast_models,82,271054.2,192.32,Medium,None,No action,TXN005234,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP2036,Sales,Sales,Procurement Specialist,PNG01,HR,Human Resources,15783.79,1192.63,722.85,0,17699.27,174.0,70.5,deals_supported,107,123439.58,165.41,Low,None,No action,TXN005235,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP4393,Procurement,Procurement,Revenue Analyst,PNG01,IT,Information Technology,19024.45,0,2170.6,3329.76,24524.81,129.6,84.3,pos_processed,144,367435.9,170.31,Low,Low utilisation high cost,Review allocation / approve exception,TXN005236,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP8195,Commercial,Commercial,Operations Planner,PNG01,HR,Human Resources,12274.78,2488.47,1279.33,2128.35,18170.93,150.4,96.4,revenue_cases,89,754139.96,204.17,Medium,None,No action,TXN005237,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP7282,Operations,Operations,Revenue Analyst,FJI01,VIC,Victoria Operations,9680.8,0,1452.44,0,11133.24,137.3,94.1,flights_supported,45,175927.65,247.41,High,High overtime,Review allocation / approve exception,TXN005238,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP5573,Finance,Finance,Finance Analyst,PNG01,TAS,Tasmania Operations,19567.6,296.56,549.48,0,20413.64,148.0,74.6,close_tasks,135,476076.2,151.21,Medium,High overtime,Review allocation / approve exception,TXN005239,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP5526,Finance,Finance,Procurement Specialist,NZL01,SA,South Australia Operations,9472.05,1410.46,2359.43,5955.04,19196.98,175.5,90.9,close_tasks,194,527889.98,98.95,Medium,None,No action,TXN005240,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP3379,Commercial,Commercial,Data Engineer,AUS01,VIC,Victoria Operations,5355.81,918.07,2277.08,0,8550.96,146.4,61.2,revenue_cases,283,677206.94,30.22,Medium,Contractor dependency,Review allocation / approve exception,TXN005241,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP4448,Commercial,Commercial,Inventory Coordinator,PNG01,NT,Northern Territory Operations,8938.22,124.67,1898.76,0,10961.65,124.3,63.3,revenue_cases,287,145996.81,38.19,Medium,High overtime,Review allocation / approve exception,TXN005242,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP2470,Customer Care,Customer Care,Sales Manager,NZL01,OPS,Operations & Logistics,8278.74,2222.25,1597.87,0,12098.86,133.6,70.2,cases_resolved,96,744528.32,126.03,High,Low utilisation high cost,Review allocation / approve exception,TXN005243,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP6611,FP&A,FP&A,Operations Planner,NZL01,MKT,Marketing & Sales,17750.31,913.6,1202.03,9342.55,29208.49,176.3,89.6,forecast_models,76,227344.4,384.32,High,Low utilisation high cost,Review allocation / approve exception,TXN005244,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP8675,Procurement,Procurement,Operations Planner,FJI01,FIN,Finance & Accounting,6243.47,0,522.2,0,6765.67,127.5,60.5,pos_processed,244,542566.86,27.73,High,None,No action,TXN005245,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP8341,Customer Care,Customer Care,Finance Analyst,NZL01,OPS,Operations & Logistics,13647.69,0,2222.93,0,15870.62,171.3,80.4,cases_resolved,125,490626.79,126.96,Low,None,No action,TXN005246,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP3702,Sales,Sales,Operations Planner,AUS01,MKT,Marketing & Sales,7190.41,1591.95,1142.49,0,9924.85,128.2,87.0,deals_supported,274,637243.26,36.22,Low,Low utilisation high cost,Review allocation / approve exception,TXN005247,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP6921,Commercial,Commercial,Inventory Coordinator,NZL01,CORP,Corporate Head Office,17122.09,0,2297.77,0,19419.86,148.9,95.1,revenue_cases,193,101937.82,100.62,Medium,Contractor dependency,Review allocation / approve exception,TXN005248,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP4411,FP&A,FP&A,Revenue Analyst,AUS01,MKT,Marketing & Sales,14975.07,543.48,1179.83,5517.55,22215.93,179.4,96.2,forecast_models,148,64950.75,150.11,Medium,None,No action,TXN005249,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP6295,Procurement,Procurement,Operations Planner,FJI01,QLD,Queensland Operations,18373.26,2127.61,935.98,0,21436.85,184.2,79.3,pos_processed,120,176804.42,178.64,High,None,No action,TXN005250,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP8967,Customer Care,Customer Care,Controller,AUS01,WA,Western Australia Operations,16305.9,1686.56,681.19,0,18673.65,145.0,66.8,cases_resolved,154,232478.61,121.26,Low,High overtime,Review allocation / approve exception,TXN005251,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP5953,Customer Care,Customer Care,Customer Service Lead,PNG01,HR,Human Resources,9341.55,245.8,2956.41,13568.35,26112.11,182.9,88.1,cases_resolved,183,517976.81,142.69,Low,Contractor dependency,Review allocation / approve exception,TXN005252,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP2347,Procurement,Procurement,Sales Manager,FJI01,FIN,Finance & Accounting,10268.67,0,962.98,0,11231.65,169.0,56.9,pos_processed,82,451081.22,136.97,Low,Contractor dependency,Review allocation / approve exception,TXN005253,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP7446,IT,IT,Data Engineer,AUS01,ACT,Australian Capital Territory,8205.22,914.27,728.82,0,9848.31,165.8,92.9,tickets_resolved,70,119318.84,140.69,Low,Contractor dependency,Review allocation / approve exception,TXN005254,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP7032,FP&A,FP&A,FP&A Manager,PNG01,HR,Human Resources,5581.29,2157.98,1756.03,8742.67,18237.97,154.4,78.4,forecast_models,183,421803.67,99.66,High,None,No action,TXN005255,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP3259,Sales,Sales,Finance Analyst,NZL01,WA,Western Australia Operations,14560.79,0,1000.37,8010.26,23571.42,131.3,81.3,deals_supported,285,324725.86,82.71,Medium,Low utilisation high cost,Review allocation / approve exception,TXN005256,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP6448,Procurement,Procurement,Inventory Coordinator,NZL01,HR,Human Resources,18501.71,475.26,2250.99,0,21227.96,170.4,84.7,pos_processed,222,378579.85,95.62,Low,Low utilisation high cost,Review allocation / approve exception,TXN005257,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP4019,Procurement,Procurement,Data Engineer,NZL01,NSW,New South Wales Operations,5043.51,0,519.29,2357.05,7919.85,138.1,61.0,pos_processed,235,284123.89,33.7,High,Contractor dependency,Review allocation / approve exception,TXN005258,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP3515,FP&A,FP&A,Sales Manager,AUS01,OPS,Operations & Logistics,14233.36,0,1733.09,0,15966.45,148.7,84.4,forecast_models,131,614928.99,121.88,Medium,None,No action,TXN005259,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP9426,Customer Care,Customer Care,FP&A Manager,PNG01,VIC,Victoria Operations,6533.17,984.43,1827.07,0,9344.67,166.2,55.4,cases_resolved,121,405927.97,77.23,Medium,Low utilisation high cost,Review allocation / approve exception,TXN005260,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP3354,Operations,Operations,Customer Service Lead,AUS01,FIN,Finance & Accounting,15439.12,453.74,2866.53,0,18759.39,134.9,57.1,flights_supported,111,436092.63,169.0,Low,Contractor dependency,Review allocation / approve exception,TXN005261,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP4170,Customer Care,Customer Care,Customer Service Lead,AUS01,IT,Information Technology,19620.7,225.89,1543.47,0,21390.06,133.4,97.2,cases_resolved,267,335879.92,80.11,Low,High overtime,Review allocation / approve exception,TXN005262,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP6385,FP&A,FP&A,Revenue Analyst,AUS01,NT,Northern Territory Operations,5532.57,230.19,2705.24,0,8468.0,162.2,71.1,forecast_models,300,82487.02,28.23,High,Contractor dependency,Review allocation / approve exception,TXN005263,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP8950,Commercial,Commercial,Sales Manager,AUS01,NT,Northern Territory Operations,7053.22,2039.82,2461.28,0,11554.32,120.8,71.0,revenue_cases,287,590420.85,40.26,Low,None,No action,TXN005264,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP9638,Finance,Finance,Procurement Specialist,NZL01,TAS,Tasmania Operations,10536.63,0,1477.68,0,12014.31,153.0,78.4,close_tasks,268,184987.6,44.83,Low,High overtime,Review allocation / approve exception,TXN005265,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP5248,FP&A,FP&A,Customer Service Lead,AUS01,MKT,Marketing & Sales,19383.06,1947.66,797.24,8681.28,30809.24,173.4,86.6,forecast_models,124,167888.87,248.46,Low,Contractor dependency,Review allocation / approve exception,TXN005266,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP5421,Procurement,Procurement,Revenue Analyst,NZL01,WA,Western Australia Operations,13190.12,1438.0,2233.17,4179.28,21040.57,175.3,75.3,pos_processed,142,700890.52,148.17,High,Contractor dependency,Review allocation / approve exception,TXN005267,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP8572,Commercial,Commercial,Customer Service Lead,FJI01,NT,Northern Territory Operations,8118.49,2016.53,2633.62,0,12768.64,149.8,88.3,revenue_cases,254,661099.41,50.27,Low,None,No action,TXN005268,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP7360,Finance,Finance,Data Engineer,PNG01,NSW,New South Wales Operations,14199.03,471.93,1147.31,7313.88,23132.15,138.9,59.5,close_tasks,49,240170.51,472.08,Low,Contractor dependency,Review allocation / approve exception,TXN005269,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP2560,Customer Care,Customer Care,Data Engineer,PNG01,ACT,Australian Capital Territory,19160.98,2119.13,2351.18,11389.38,35020.67,142.6,77.6,cases_resolved,270,417092.86,129.71,Medium,Low utilisation high cost,Review allocation / approve exception,TXN005270,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP8353,Commercial,Commercial,Inventory Coordinator,AUS01,TAS,Tasmania Operations,13690.23,0,618.97,13246.99,27556.19,150.5,81.5,revenue_cases,291,180339.51,94.69,Medium,None,No action,TXN005271,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP6638,Commercial,Commercial,Operations Planner,AUS01,FIN,Finance & Accounting,6250.39,521.36,2300.92,14680.23,23752.9,146.0,58.9,revenue_cases,100,514707.77,237.53,Medium,Contractor dependency,Review allocation / approve exception,TXN005272,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP1550,Sales,Sales,Data Engineer,AUS01,MKT,Marketing & Sales,5844.85,2282.09,852.57,0,8979.51,141.9,73.0,deals_supported,188,670125.05,47.76,Low,Low utilisation high cost,Review allocation / approve exception,TXN005273,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP2591,Finance,Finance,Sales Manager,PNG01,NSW,New South Wales Operations,9551.03,1332.66,1621.04,0,12504.73,174.1,83.5,close_tasks,144,203262.47,86.84,Low,High overtime,Review allocation / approve exception,TXN005274,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 2 - Workforce,2026-03,EMP8865,Operations,Operations,Procurement Specialist,AUS01,QLD,Queensland Operations,8786.26,1963.4,2368.54,3736.05,16854.25,162.4,81.9,flights_supported,273,133292.63,61.74,Low,None,No action,TXN005275,IBMBOB_Workforce_Cost_Output_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
